Iteration,Total_Wall_ms,HW_Write_ms,HW_Compute_ms,HW_Read_ms,SW_Overhead_ms
0,0.496803,0.05321,0.175371,0.106919,0.161303
1,0.47771,0.046,0.162763,0.109909,0.159038
2,0.40148,0.052542,0.184182,0.067848,0.096908
3,0.58743,0.055479,0.331392,0.060916,0.139643
4,0.294649,0.035894,0.157041,0.02423,0.077484
5,0.428552,0.060015,0.239645,0.041996,0.086896
6,0.265443,0.047854,0.111614,0.022786,0.083189
7,0.347044,0.054582,0.135246,0.03611,0.121106
8,0.255497,0.039458,0.123707,0.021167,0.071165
9,0.302172,0.038624,0.109431,0.037153,0.116964
10,0.331718,0.025964,0.202119,0.021169,0.082466
11,0.334374,0.035862,0.131624,0.037933,0.128955
12,0.268752,0.033114,0.128237,0.022812,0.084589
13,0.384248,0.025994,0.18208,0.037785,0.138389
14,0.285133,0.03443,0.132744,0.022709,0.09525
15,0.410196,0.053642,0.207554,0.037209,0.111791
16,0.392104,0.058712,0.227427,0.022183,0.083782
17,0.337244,0.031306,0.146403,0.037737,0.121798
18,0.299043,0.032354,0.1605,0.022847,0.083342
19,0.34821,0.026394,0.155431,0.037398,0.128987
20,0.30003,0.030152,0.16955,0.019867,0.080461
21,0.430772,0.027563,0.22372,0.037524,0.141965
22,0.313485,0.029897,0.176494,0.023649,0.083445
23,0.45933,0.023638,0.279318,0.037365,0.119009
24,0.348728,0.030075,0.209388,0.029291,0.079974
25,0.430282,0.027041,0.225412,0.037622,0.140207
26,0.271786,0.02628,0.154235,0.019752,0.071519
27,0.460182,0.025545,0.275304,0.037598,0.121735
28,0.629703,0.024102,0.489948,0.021949,0.093704
29,0.381838,0.02658,0.191088,0.037767,0.126403
30,0.308204,0.030542,0.176414,0.020325,0.080923
31,0.429497,0.071995,0.192491,0.037629,0.127382
32,0.254495,0.029605,0.102911,0.02196,0.100019
33,0.318333,0.029049,0.125638,0.037442,0.126204
34,0.26004,0.030406,0.111954,0.021929,0.095751
35,0.299403,0.02537,0.121263,0.037654,0.115116
36,0.283982,0.027766,0.15594,0.023669,0.076607
37,0.358196,0.026952,0.163574,0.039171,0.128499
38,0.281703,0.02393,0.15222,0.019449,0.086104
39,0.513471,0.026457,0.313415,0.037509,0.13609
40,0.271513,0.029151,0.134714,0.019939,0.087709
41,0.366156,0.02615,0.171354,0.037716,0.130936
42,0.289313,0.026951,0.15149,0.020218,0.090654
43,0.383117,0.026415,0.198546,0.037245,0.120911
44,0.243658,0.027852,0.111062,0.021903,0.082841
45,0.381462,0.0272,0.187931,0.037777,0.128554
46,0.332034,0.027135,0.198174,0.019347,0.087378
47,0.424674,0.027433,0.25794,0.037356,0.101945
48,0.251362,0.026677,0.127213,0.022452,0.07502
49,0.331478,0.026228,0.138276,0.037071,0.129903
50,0.322301,0.029302,0.194176,0.022015,0.076808
51,0.389212,0.023902,0.212693,0.037372,0.115245
52,0.40191,0.027245,0.270191,0.01959,0.084884
53,0.339057,0.02773,0.146972,0.037777,0.126578
54,0.345312,0.059225,0.181165,0.022065,0.082857
55,0.378939,0.02811,0.191248,0.037216,0.122365
56,0.297187,0.034335,0.164616,0.022184,0.076052
57,0.527998,0.023966,0.347919,0.037747,0.118366
58,0.28348,0.026405,0.14921,0.020517,0.087348
