Target device: xilinx_u50_gen3x16_xdma_base_5-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
405.167,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
455.26,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
494.855,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
534.049,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
572.518,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
611.267,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
648.971,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
687.112,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
724.664,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
762.772,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
801.067,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
839.98,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
878.244,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
916.496,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
954.767,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
992.917,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
1030.99,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
1069.62,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
1108.2,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
1146.26,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
1184.93,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
1223.32,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
1263.26,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
1300.89,0,0,1424,12012,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
1338.96,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
1380.46,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
1421.98,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
1464.46,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
1506.97,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
1549.24,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
1591.27,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
1633.81,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
1676.2,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
1718.71,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
1762.2,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
1804.17,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
1846.44,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
1889.24,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
1932.51,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
1976.07,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
2019.01,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
2062.19,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
2105.35,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
2148.52,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
2192.04,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
2235.15,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
2279.76,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
2322.97,0,0,1424,12013,7000,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
2366.09,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
2410.44,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
2453.23,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
2496.25,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
2539.75,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
2582.89,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
2626.14,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
2669.11,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
2712.46,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
2755.6,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
2798.76,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
2841.99,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
2884.81,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
2927.65,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
2971.04,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3013.86,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3056.63,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3099.91,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3143.21,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3186.51,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3229.5,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3274.14,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3318.47,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3361.48,0,0,1425,12012,6900,849,564,3344,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3405.69,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3448.89,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3492.37,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3535.69,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3579.14,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3622.27,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3665.6,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3708.57,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3751.37,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3794.81,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3838.08,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3881.6,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3924.34,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
3967.46,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
4010.57,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
4053.48,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
4096.77,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
4139.88,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
4182.66,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
4225.55,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
4268.58,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
4312.78,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
4356.05,0,0,1424,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
4400.68,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
4444.9,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
4488.75,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
4532.97,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
4576.83,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
4620.73,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
4665.15,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
4709.2,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
4753.1,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
4799,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
4844.64,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
4890.45,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
4936.25,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
4981.85,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5026.62,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5070.96,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5115.43,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5159.84,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5204.16,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5248.52,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5292.81,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5338.61,0,0,1424,12012,6900,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5383.21,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5428.96,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5473.63,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5518.53,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5563.41,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5607.91,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5652.56,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5696.89,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5741.31,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5786.02,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5830.43,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5874.93,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5919.44,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
5962.43,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
6005.24,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
6048.7,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
6091.91,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
6135.27,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
6178.44,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
6221.65,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
6264.39,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
6307.63,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
6352.55,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
6395.58,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
6440.12,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
6483.31,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
6526.08,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
6568.89,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
