backend,sample,N,E,h2d_ms,prep_ms,graph_ms,forward_ms,d2h_ms,compute_ms,transfer_ms,e2e_ms
cpu_eager,128,30,184,0.0,0.078675,0.102316,1.108311,0.0,1.2893020000000002,0.0,1.2893020000000002
cpu_eager,129,36,158,0.0,0.077254,0.101654,1.083856,0.0,1.262764,0.0,1.262764
cpu_eager,130,31,182,0.0,0.076896,0.099101,1.086041,0.0,1.262038,0.0,1.262038
cpu_eager,131,50,538,0.0,0.077237,0.128466,1.214568,0.0,1.420271,0.0,1.420271
cpu_eager,132,33,166,0.0,0.075504,0.099578,1.084086,0.0,1.259168,0.0,1.259168
cpu_eager,133,57,302,0.0,0.077674,0.129211,1.20527,0.0,1.412155,0.0,1.412155
cpu_eager,134,22,80,0.0,0.076253,0.100113,1.038765,0.0,1.215131,0.0,1.215131
cpu_eager,135,29,106,0.0,0.079821,0.095372,1.041516,0.0,1.216709,0.0,1.216709
cpu_eager,136,25,78,0.0,0.075514,0.088013,1.023854,0.0,1.187381,0.0,1.187381
cpu_eager,137,23,56,0.0,0.074476,0.088359,1.026853,0.0,1.189688,0.0,1.189688
cpu_eager,138,43,262,0.0,0.075709,0.110526,1.108612,0.0,1.2948469999999999,0.0,1.2948469999999999
cpu_eager,139,32,98,0.0,0.076334,0.093549,1.038487,0.0,1.20837,0.0,1.20837
cpu_eager,140,22,118,0.0,0.074606,0.087636,1.046201,0.0,1.208443,0.0,1.208443
cpu_eager,141,40,218,0.0,0.075072,0.108623,1.126838,0.0,1.310533,0.0,1.310533
cpu_eager,142,32,104,0.0,0.084691,0.095416,1.031013,0.0,1.21112,0.0,1.21112
cpu_eager,143,36,230,0.0,0.075149,0.107885,1.107286,0.0,1.29032,0.0,1.29032
cpu_eager,144,38,268,0.0,0.077042,0.109058,1.123,0.0,1.3091,0.0,1.3091
cpu_eager,145,22,80,0.0,0.074336,0.086587,1.034711,0.0,1.1956339999999999,0.0,1.1956339999999999
cpu_eager,146,32,162,0.0,0.076235,0.095983,1.074607,0.0,1.246825,0.0,1.246825
cpu_eager,147,34,130,0.0,0.0794,0.097927,1.077448,0.0,1.254775,0.0,1.254775
cpu_eager,148,36,152,0.0,0.074616,0.099641,1.077606,0.0,1.2518630000000002,0.0,1.2518630000000002
cpu_eager,149,45,272,0.0,0.075459,0.124819,1.138333,0.0,1.338611,0.0,1.338611
cpu_eager,150,45,208,0.0,0.080517,0.109021,1.10192,0.0,1.291458,0.0,1.291458
cpu_eager,151,51,454,0.0,0.076339,0.127084,1.184628,0.0,1.388051,0.0,1.388051
cpu_eager,152,45,268,0.0,0.077955,0.115218,1.131546,0.0,1.324719,0.0,1.324719
cpu_eager,153,54,284,0.0,0.077034,0.11628,1.131296,0.0,1.32461,0.0,1.32461
cpu_eager,154,34,106,0.0,0.075007,0.096978,1.054289,0.0,1.226274,0.0,1.226274
cpu_eager,155,50,446,0.0,0.085386,0.123045,1.169332,0.0,1.377763,0.0,1.377763
cpu_eager,156,70,1080,0.0,0.077509,0.16305,1.356453,0.0,1.5970119999999999,0.0,1.5970119999999999
cpu_eager,157,32,246,0.0,0.076804,0.104072,1.108183,0.0,1.289059,0.0,1.289059
cpu_eager,158,33,146,0.0,0.074351,0.099199,1.110634,0.0,1.2841839999999998,0.0,1.2841839999999998
cpu_eager,159,38,180,0.0,0.07614,0.103581,1.107587,0.0,1.2873080000000001,0.0,1.2873080000000001
cpu_eager,160,15,30,0.0,0.082442,0.080445,1.020898,0.0,1.183785,0.0,1.183785
cpu_eager,161,20,86,0.0,0.079217,0.087141,1.029715,0.0,1.196073,0.0,1.196073
cpu_eager,162,18,54,0.0,0.07464,0.081533,1.023979,0.0,1.180152,0.0,1.180152
cpu_eager,163,17,80,0.0,0.073707,0.083003,1.021891,0.0,1.178601,0.0,1.178601
cpu_eager,164,27,146,0.0,0.07434,0.095444,1.08225,0.0,1.2520339999999999,0.0,1.2520339999999999
cpu_eager,165,27,136,0.0,0.07522,0.097345,1.063683,0.0,1.236248,0.0,1.236248
cpu_eager,166,22,170,0.0,0.074543,0.090698,1.08395,0.0,1.249191,0.0,1.249191
cpu_eager,167,43,564,0.0,0.07571,0.12215,1.230645,0.0,1.428505,0.0,1.428505
cpu_eager,168,28,90,0.0,0.075022,0.091249,1.043677,0.0,1.209948,0.0,1.209948
cpu_eager,169,34,176,0.0,0.074899,0.101529,1.086079,0.0,1.262507,0.0,1.262507
cpu_eager,170,30,120,0.0,0.075066,0.096213,1.042362,0.0,1.213641,0.0,1.213641
cpu_eager,171,42,192,0.0,0.075263,0.117234,1.084186,0.0,1.276683,0.0,1.276683
cpu_eager,172,15,50,0.0,0.074588,0.080685,1.029459,0.0,1.184732,0.0,1.184732
cpu_eager,173,37,220,0.0,0.074616,0.102447,1.100793,0.0,1.2778559999999999,0.0,1.2778559999999999
cpu_eager,174,42,240,0.0,0.076556,0.109637,1.135656,0.0,1.321849,0.0,1.321849
