backend,batch_size,batches,graphs,compute_mean_ms_per_graph,compute_p50_ms_per_graph,compute_p99_ms_per_graph,transfer_mean_ms_per_graph,e2e_mean_ms_per_graph,e2e_p50_ms_per_graph,e2e_p99_ms_per_graph,graph_mean_ms_per_graph,forward_mean_ms_per_graph,throughput_mean_graphs_per_s,throughput_p50_graphs_per_s,throughput_p99_graphs_per_s,nodes_per_s_mean
cpu_compile,1,16384,16384,0.9632456488647461,0.889143,1.2456234800000001,0.0,0.9632456488647461,0.889143,1.2456234800000001,0.11487976763916016,0.7318984302368164,1119.4912897671095,1124.6784825444947,1375.6774388351428,41143.55618584486
cpu_compile,2,8192,16384,0.5305254619750976,0.520783,0.69899522,0.0,0.5305254619750976,0.520783,0.69899522,0.08953274853515625,0.3752305480957031,1907.833435555865,1920.1855674411631,2322.9455062101747,71059.29603596733
cpu_compile,4,4096,16384,0.3167522483520508,0.312811,0.4069087250000003,0.0,0.3167522483520508,0.312811,0.4069087250000003,0.0674175517578125,0.21448677026367188,3182.6463093156285,3196.8185294697596,3806.4795322067916,119522.66203220456
cpu_compile,8,2048,16384,0.1956891055908203,0.1897323125,0.32660803,0.0,0.1956891055908203,0.1897323125,0.32660803,0.05283935998535156,0.11911942999267579,5224.305048198244,5270.583618443919,6652.609753272669,196856.72770417426
cpu_compile,16,1024,16384,0.2521187578125,0.18915496875,0.9563163618749999,0.0,0.2521187578125,0.18915496875,0.9563163618749999,0.035673181457519534,0.11950880310058594,4730.280001853124,5286.670536223973,6078.3200684981775,179539.53584805824
cpu_compile,64,256,16384,0.08357884265136718,0.081609015625,0.14677119609374997,0.0,0.08357884265136718,0.081609015625,0.14677119609374997,0.02973893994140625,0.03968429638671875,12139.280426031071,12253.555043674449,14017.309803515836,461689.2700320354
cpu_eager,1,16384,16384,1.4431192659301757,1.4254105,1.9398846,0.0,1.4431192659301757,1.4254105,1.9398846,0.1326453532104492,1.1916679774780274,699.3650835201618,701.5522897118144,831.5238412245694,25922.739215720103
cpu_eager,2,8192,16384,0.7896503352050781,0.7789665,1.0335185800000002,0.0,0.7896503352050781,0.7789665,1.0335185800000002,0.09583133911132813,0.6305356027832031,1280.6714179976943,1283.7522538912174,1542.4553382735717,47732.59482985252
cpu_eager,4,4096,16384,0.48837775695800784,0.485809375,0.6211066875000005,0.0,0.48837775695800784,0.485809375,0.6211066875000005,0.0769933126220703,0.37674504620361327,2075.9486639394718,2058.42055011294,2691.5692039425617,77843.0440772343
cpu_eager,8,2048,16384,0.3075379555053711,0.30215156249999997,0.46487062625,0.0,0.3075379555053711,0.30215156249999997,0.46487062625,0.0611658935546875,0.22237918194580078,3297.784105745115,3309.5973247356064,4121.184335543078,124642.58491157427
cpu_eager,16,1024,16384,0.27281436962890626,0.24617228125,0.5335914568750001,0.0,0.27281436962890626,0.24617228125,0.5335914568750001,0.04468906018066406,0.15011304644775392,3846.9627783595547,4062.195771775426,4468.122678876089,145988.354048624
cpu_eager,64,256,16384,0.16595468499755858,0.17348879687500002,0.21936681640624994,0.0,0.16595468499755858,0.17348879687500002,0.21936681640624994,0.05213540551757812,0.09926583905029297,6274.905733383194,5764.06707925306,9893.837441554482,237647.32719431573
gpu_compile,1,16384,16384,1.13527595942287,1.0752319991588593,1.0976959939301014,0.07255695513833871,1.2078329145612088,1.1479679783806205,1.1708479989692568,0.2763429356018605,0.6343390020047082,870.3840458344582,871.1044374344384,885.1981656945273,33194.79281155944
gpu_compile,2,8192,16384,0.543508964117791,0.5428160056471825,0.5528334464132786,0.036325851615060856,0.5798348157328519,0.5792639944702387,0.5893468828313053,0.14591125529295823,0.28716497457935475,1725.11765449158,1726.3285989569265,1745.5706958826643,65807.48721879789
gpu_compile,4,4096,16384,0.2725444639318084,0.27212799713015556,0.2790008023381233,0.01837980664663519,0.2909242705784436,0.2904640017077327,0.2978163922205567,0.0728778277280071,0.14422897824988468,3438.378075409731,3442.767413933134,3481.603144936435,131146.39445287993
gpu_compile,8,2048,16384,0.1370905074345501,0.13681799918413162,0.14363519951701165,0.009683701162884972,0.14677420859743506,0.14645199896767735,0.15385419909842313,0.03658163072032039,0.07276337686926126,6813.8907003081995,6828.1758326883955,6912.873715253379,259891.6992253113
gpu_compile,16,1024,16384,0.06905350187935255,0.06873399764299393,0.07325240084901452,0.005089070315762001,0.07414257219511455,0.07381100009661168,0.07886789931450039,0.01838487692839408,0.036618408255890245,13490.266136850509,13548.116119197584,13733.887044804873,514696.55607429985
gpu_compile,64,256,16384,0.01849573633990076,0.018721000174991786,0.019114425126463174,0.001798886717097048,0.020294623056997807,0.020531000016489998,0.02101457533717621,0.004802152363481582,0.01009047265688423,49316.199491658765,48706.8335584805,52634.440573658445,1881604.9329187947
