Iteration,Total_Wall_ms,HW_Write_ms,HW_Compute_ms,HW_Read_ms,SW_Overhead_ms
0,0.626781,0.084643,0.212456,0.095386,0.234296
1,0.59942,0.043672,0.291443,0.04702,0.217285
2,0.435307,0.065356,0.181051,0.025312,0.163588
3,0.597784,0.044568,0.274314,0.054033,0.224869
4,0.429524,0.045061,0.198837,0.022037,0.163589
5,0.573057,0.04659,0.286904,0.035104,0.204459
6,0.418468,0.046954,0.209832,0.031464,0.130218
7,0.481863,0.045188,0.233641,0.035472,0.167562
8,0.323152,0.050558,0.161113,0.020902,0.090579
9,0.454263,0.030434,0.260948,0.035702,0.127179
10,0.314676,0.046342,0.170568,0.024185,0.073581
11,0.558827,0.053083,0.255027,0.089914,0.160803
12,0.385759,0.048153,0.152753,0.051528,0.133325
13,0.52769,0.053774,0.261876,0.065316,0.146724
14,0.474966,0.066784,0.184736,0.085283,0.138163
15,0.514999,0.043859,0.279989,0.035177,0.155974
16,0.545111,0.092327,0.20195,0.04464,0.206194
17,0.531191,0.043226,0.256473,0.035569,0.195923
18,0.348914,0.065295,0.172967,0.023079,0.087573
19,0.493491,0.07143,0.234756,0.058117,0.129188
20,0.314709,0.04797,0.166081,0.023756,0.076902
21,0.526571,0.055783,0.248811,0.066754,0.155223
22,0.308855,0.026206,0.166797,0.0236,0.092252
23,0.50097,0.053262,0.257482,0.06104,0.129186
24,0.42923,0.025508,0.15293,0.06701,0.183782
25,0.537573,0.053435,0.261631,0.063538,0.158969
26,0.423053,0.050418,0.168036,0.073867,0.130732
27,0.490529,0.052804,0.237324,0.066214,0.134187
28,0.405055,0.047609,0.157652,0.069037,0.130757
29,0.552386,0.053155,0.254802,0.12944,0.114989
30,0.447992,0.08918,0.171492,0.039358,0.147962
31,0.540197,0.052216,0.245988,0.081947,0.160046
32,0.439222,0.05311,0.20401,0.039234,0.142868
33,0.559448,0.05206,0.250198,0.081387,0.175803
34,0.484954,0.07795,0.177955,0.053667,0.175382
35,0.512375,0.0459,0.275025,0.034527,0.156923
36,0.298371,0.028852,0.15427,0.02651,0.088739
37,0.569714,0.085018,0.288665,0.035878,0.160153
38,0.346314,0.035727,0.18289,0.037171,0.090526
39,0.404903,0.028101,0.229146,0.035852,0.111804
40,0.287997,0.029538,0.150391,0.023614,0.084454
41,0.469565,0.0689,0.248983,0.035906,0.115776
42,0.307877,0.048657,0.170187,0.021155,0.067878
43,0.467686,0.054234,0.237098,0.055223,0.121131
44,0.411678,0.06481,0.16876,0.040246,0.137862
45,0.504194,0.047247,0.257013,0.060992,0.138942
46,0.392257,0.044151,0.165902,0.069123,0.113081
47,0.532758,0.065382,0.24481,0.063492,0.159074
48,0.408722,0.049134,0.15719,0.057583,0.144815
49,0.525917,0.051626,0.257466,0.070998,0.145827
50,0.363402,0.051615,0.175396,0.048168,0.088223
51,0.501395,0.053102,0.236588,0.075031,0.136674
52,0.357379,0.048713,0.152548,0.043658,0.11246
53,0.511235,0.051602,0.256171,0.063407,0.140055
54,0.384099,0.049858,0.169174,0.049808,0.115259
55,0.518238,0.052316,0.236265,0.07731,0.152347
56,0.327965,0.028173,0.150873,0.03765,0.111269
57,0.468857,0.054927,0.253328,0.035496,0.125106
58,0.381914,0.049708,0.16871,0.053233,0.110263
59,0.513629,0.051676,0.232537,0.077403,0.152013
60,0.312267,0.027244,0.151795,0.037688,0.09554
61,0.493292,0.034568,0.242563,0.080669,0.135492
62,0.339251,0.028642,0.165934,0.037796,0.106879
63,0.555719,0.094501,0.254806,0.065943,0.140469
64,0.302918,0.037328,0.152107,0.023782,0.089701
65,0.505375,0.031235,0.254425,0.07518,0.144535
66,0.517924,0.109206,0.194442,0.03929,0.174986
67,0.513561,0.044082,0.231148,0.054749,0.183582
68,0.370191,0.063788,0.199016,0.02549,0.081897
